order_id,order_date,year,month,salesperson,client_name,client_segment,client_city,region,product_name,product_category,quantity,unit_price,discount_pct,discount_amount,gross_revenue,net_revenue,channel,is_returned,return_date,monthly_target
DM-010029,2005-01-01,2005,1,Dwight Schrute,Utica Law Firm #1,Enterprise,New York,Northeast,Copy Paper - Premium (Case),Paper,1,143.68,0.15,28.02,186.78,158.76,Direct,False,,287.45
DM-001029,2005-01-01,2005,1,Phyllis Vance,Utica Law Firm #115,Government,Dunmore,Northeast,Copy Paper - Premium (Case),Paper,10,130.12,0.0,0.0,1301.35,1301.35,Phone,False,,632.38
DM-001018,2005-01-01,2005,1,Dwight Schrute,Akron Accounting #13,Mid-Market,New York,Northeast,Manila Folders (Pack),Office Supplies,4,23.42,0.0,0.0,91.36,91.36,Email,False,,114.88
DM-011929,2005-01-01,2005,1,Dwight Schrute,Syracuse Law Firm #72,Mid-Market,Scranton,Northeast,Color Copy Paper (Pack),Paper,16,70.22,0.0,0.0,1095.64,1095.64,Direct,False,,133.35
DM-010022,2005-01-02,2005,1,Stanley Hudson,Nashua Dental #32,SMB,Scranton,Northeast,Specialty Paper - Glossy (Pack),Paper,3,86.18,0.1,25.85,258.55,232.7,Email,False,,182.9
DM-010017,2005-01-02,2005,1,Dwight Schrute,Utica Insurance #286,Internal,Utica,Northeast,Specialty Paper - Glossy (Pack),Paper,6,85.92,0.2,111.7,558.51,446.81,Phone,False,,182.9
DM-001006,2005-01-02,2005,1,Jim Halpert,Scranton Law Firm #12,Government,Dunmore,Northeast,Printer Ink - Color,Ink & Toner,2,69.92,0.0,0.0,139.88,139.88,Direct,False,,344.88
DM-006265,2005-01-03,2005,1,Jim Halpert,Rochester Law Firm #206,Mid-Market,Scranton,Northeast,Recycled Paper - Letter (Case),Paper,1,98.18,0.0,0.0,98.18,98.18,Direct,False,,317.75
DM-010020,2005-01-03,2005,1,Jim Halpert,Akron Manufacturing #11,SMB,Scranton,Northeast,Color Copy Paper (Pack),Paper,5,72.18,0.0,0.0,360.83,360.83,Direct,False,,151.55
DM-006267,2005-01-04,2005,1,Stanley Hudson,Utica Medical Center #320,Enterprise,Philadelphia,Mid-Atlantic,Laser Toner - Color,Ink & Toner,4,290.88,0.0,0.0,1163.45,1163.45,Direct,False,,953.38
DM-010010,2005-01-04,2005,1,Jim Halpert,Nashua Dental #4,Government,Dunmore,Northeast,DM Executive Binder,Office Supplies,10,34.93,0.05,17.45,349.17,331.72,Direct,False,,67.9
DM-018923,2005-01-04,2005,1,Ryan Howard,Nashua Logistics #279,Government,Albany,Northeast,Laser Toner - Color,Ink & Toner,2,315.75,0.0,0.0,631.49,631.49,Email,False,,451.6
DM-010012,2005-01-04,2005,1,Dwight Schrute,Buffalo Paper Supply #2,Mid-Market,Scranton,Northeast,Laser Toner - Color,Ink & Toner,8,303.35,0.0,0.0,2366.06,2366.06,Email,False,,627.22
DM-010018,2005-01-04,2005,1,Stanley Hudson,Nashua Medical Center #3,Education,Syracuse,Northeast,Laser Toner - Color,Ink & Toner,4,307.5,0.2,246.0,1230.03,984.03,Email,False,,627.22
DM-001013,2005-01-04,2005,1,Stanley Hudson,Syracuse Accounting #65,Internal,Nashua,Northeast,Recycled Paper - Letter (Case),Paper,1,102.85,0.05,5.15,102.85,97.7,Phone,False,,459.88
DM-011928,2005-01-05,2005,1,Dwight Schrute,Nashua Paper Supply #303,Enterprise,Ithaca,Northeast,Laser Toner - Color,Ink & Toner,3,314.02,0.15,122.46,816.43,693.98,Phone,False,,551.95
DM-011923,2005-01-05,2005,1,Stanley Hudson,Rochester Logistics #98,Internal,Stamford,Northeast,Stapler - Heavy Duty,Office Supplies,1,47.92,0.0,0.0,47.92,47.92,Phone,False,,87.35
DM-006266,2005-01-06,2005,1,Dwight Schrute,Albany Logistics #9,Enterprise,Tallahassee,Southeast,Sticky Notes (Pack),Office Supplies,16,16.7,0.05,13.03,260.58,247.55,Email,False,,55.55
DM-010024,2005-01-07,2005,1,Stanley Hudson,Utica Law Firm #1,Internal,Utica,Northeast,Copy Paper - Premium (Case),Paper,1,130.5,0.1,13.05,130.5,117.45,Email,False,,287.45
