order_id,order_date,year,month,salesperson,client_name,client_segment,client_city,region,product_name,product_category,quantity,unit_price,discount_pct,discount_amount,gross_revenue,net_revenue,channel,is_returned,return_date,monthly_target
DM-010029,2005-01-01,2005,1,Dwight Schrute,Utica Law Firm #1,Enterprise,New York,Northeast,Copy Paper - Premium (Case),Paper,1,545.96,0.15,81.89,545.96,464.08,Direct,False,,1092.31
DM-001029,2005-01-01,2005,1,Phyllis Vance,Utica Law Firm #115,Government,Dunmore,Northeast,Copy Paper - Premium (Case),Paper,10,494.48,0.0,0.0,4945.13,4945.13,Phone,False,,2403.02
DM-001018,2005-01-01,2005,1,Dwight Schrute,Akron Accounting #13,Mid-Market,New York,Northeast,Manila Folders (Pack),Office Supplies,3,89.01,0.0,0.0,267.04,267.04,Email,False,,436.52
DM-011929,2005-01-01,2005,1,Dwight Schrute,Syracuse Law Firm #72,Mid-Market,Scranton,Northeast,Color Copy Paper (Pack),Paper,12,266.86,0.0,0.0,3202.64,3202.64,Direct,False,,506.73
DM-010013,2005-01-02,2005,1,Andy Bernard,Scranton Law Firm #12,Government,Dunmore,Northeast,Laser Toner - Color,Ink & Toner,1,1115.4,0.1,111.53,1115.4,1003.86,Referral,False,,2383.46
DM-010022,2005-01-02,2005,1,Stanley Hudson,Nashua Dental #32,SMB,Scranton,Northeast,Specialty Paper - Glossy (Pack),Paper,3,327.46,0.1,98.23,982.49,884.26,Email,False,,695.02
DM-010017,2005-01-02,2005,1,Dwight Schrute,Utica Insurance #286,Internal,Utica,Northeast,Specialty Paper - Glossy (Pack),Paper,5,326.52,0.2,326.52,1632.58,1306.06,Phone,False,,695.02
DM-001006,2005-01-02,2005,1,Jim Halpert,Scranton Law Firm #12,Government,Dunmore,Northeast,Printer Ink - Color,Ink & Toner,2,265.71,0.0,0.0,531.52,531.52,Direct,False,,1310.52
DM-006265,2005-01-03,2005,1,Jim Halpert,Rochester Law Firm #206,Mid-Market,Scranton,Northeast,Recycled Paper - Letter (Case),Paper,1,373.07,0.0,0.0,373.07,373.07,Direct,False,,1207.45
DM-001005,2005-01-03,2005,1,Karen Filippelli,Rochester Accounting #148,Enterprise,Scranton,Northeast,Specialty Paper - Glossy (Pack),Paper,6,338.68,0.15,304.86,2032.24,1727.39,Email,False,,1529.02
DM-010020,2005-01-03,2005,1,Jim Halpert,Akron Manufacturing #11,SMB,Scranton,Northeast,Color Copy Paper (Pack),Paper,5,274.26,0.0,0.0,1371.14,1371.14,Direct,False,,575.89
DM-011927,2005-01-03,2005,1,Karen Filippelli,Akron Dental #304,Enterprise,Scranton,Northeast,DM Executive Binder,Office Supplies,1,129.2,0.0,0.0,129.2,129.2,Trade Show,False,,227.05
DM-006267,2005-01-04,2005,1,Stanley Hudson,Utica Medical Center #320,Enterprise,Philadelphia,Mid-Atlantic,Laser Toner - Color,Ink & Toner,4,1105.32,0.0,0.0,4421.11,4421.11,Direct,False,,3622.82
DM-010010,2005-01-04,2005,1,Jim Halpert,Nashua Dental #4,Government,Dunmore,Northeast,DM Executive Binder,Office Supplies,10,132.72,0.05,66.31,1326.86,1260.56,Direct,False,,258.02
DM-018923,2005-01-04,2005,1,Ryan Howard,Nashua Logistics #279,Government,Albany,Northeast,Laser Toner - Color,Ink & Toner,5,1199.85,0.0,0.0,5999.16,5999.16,Email,False,,1716.08
DM-010012,2005-01-04,2005,1,Dwight Schrute,Buffalo Paper Supply #2,Mid-Market,Scranton,Northeast,Laser Toner - Color,Ink & Toner,6,1152.73,0.0,0.0,6916.19,6916.19,Email,False,,2383.46
DM-010018,2005-01-04,2005,1,Stanley Hudson,Nashua Medical Center #3,Education,Syracuse,Northeast,Laser Toner - Color,Ink & Toner,4,1168.5,0.2,934.8,4674.1,3739.3,Email,False,,2383.46
DM-001013,2005-01-04,2005,1,Stanley Hudson,Syracuse Accounting #65,Internal,Nashua,Northeast,Recycled Paper - Letter (Case),Paper,1,390.83,0.05,19.57,390.83,371.26,Phone,False,,1747.52
DM-011928,2005-01-05,2005,1,Dwight Schrute,Nashua Paper Supply #303,Enterprise,Ithaca,Northeast,Laser Toner - Color,Ink & Toner,2,1193.3,0.15,357.96,2386.5,2028.54,Phone,False,,2097.41
DM-011923,2005-01-05,2005,1,Stanley Hudson,Rochester Logistics #98,Internal,Stamford,Northeast,Stapler - Heavy Duty,Office Supplies,1,182.12,0.0,0.0,182.12,182.12,Phone,False,,331.93
DM-006266,2005-01-06,2005,1,Dwight Schrute,Albany Logistics #9,Enterprise,Tallahassee,Southeast,Sticky Notes (Pack),Office Supplies,12,63.46,0.05,38.1,761.71,723.62,Email,False,,211.09
DM-010024,2005-01-07,2005,1,Stanley Hudson,Utica Law Firm #1,Internal,Utica,Northeast,Copy Paper - Premium (Case),Paper,1,495.9,0.1,49.59,495.9,446.31,Email,False,,1092.31
DM-014130,2005-01-07,2005,1,Dwight Schrute,Utica Law Firm #1,Mid-Market,Scranton,Northeast,Printer Ink - Color,Ink & Toner,1,303.9,0.2,60.8,303.9,243.1,Direct,False,,571.9
DM-001002,2005-01-07,2005,1,Andy Bernard,Nashua Medical Center #3,Education,Syracuse,Northeast,Specialty Paper - Glossy (Pack),Paper,2,337.16,0.1,67.45,674.31,606.86,Direct,True,2005-02-04,1529.02
DM-014129,2005-01-07,2005,1,Dwight Schrute,Akron Manufacturing #17,SMB,Scranton,Northeast,File Folders (Box),Office Supplies,10,144.68,0.2,289.37,1446.85,1157.48,Email,False,,304.95
DM-001028,2005-01-08,2005,1,Karen Filippelli,Nashua Logistics #291,Enterprise,Ithaca,Northeast,Copy Paper - Premium (Case),Paper,6,552.14,0.0,0.0,3312.94,3312.94,Phone,False,,2403.02
DM-010023,2005-01-08,2005,1,Dwight Schrute,Utica Manufacturing #78,Enterprise,Philadelphia,Mid-Atlantic,DM Executive Binder,Office Supplies,5,126.06,0.0,0.0,630.32,630.32,Direct,False,,258.02
DM-001019,2005-01-08,2005,1,Andy Bernard,Nashua Medical Center #3,Mid-Market,Philadelphia,Mid-Atlantic,Copy Paper - Legal (Case),Paper,10,488.49,0.0,0.0,4885.09,4885.09,Direct,False,,2097.12
DM-011930,2005-01-09,2005,1,Jim Halpert,Nashua Dental #4,Mid-Market,Scranton,Northeast,Stapler - Heavy Duty,Office Supplies,10,189.24,0.0,0.0,1892.78,1892.78,Email,False,,331.93
DM-010016,2005-01-09,2005,1,Phyllis Vance,Scranton Manufacturing #57,Enterprise,Ithaca,Northeast,Cardstock - White (Pack),Paper,6,204.82,0.0,0.0,1228.82,1228.82,Email,False,,397.1
DM-010031,2005-01-09,2005,1,Dwight Schrute,Albany Paper Supply #5,SMB,Scranton,Northeast,Copy Paper - Premium (Case),Paper,2,510.53,0.15,153.14,1021.06,867.92,Phone,False,,1092.31
DM-010033,2005-01-09,2005,1,Dwight Schrute,Scranton Accounting #6,Mid-Market,Harrisburg,Mid-Atlantic,Manila Folders (Pack),Office Supplies,2,93.1,0.0,0.0,186.2,186.2,Referral,False,,198.46
